"Key","Item_Type","Publication_Year","Author","Title","Publication_Title","ISBN","ISSN","DOI","Url","Abstract_Note","Date","Date_Added","Date_Modified","Access_Date","Pages","Num_Pages","Issue","Volume","Number_Of_Volumes","Journal_Abbreviation","Short_Title","Series","Series_Number","Series_Text","Series_Title","Publisher","Place","Language","Rights","Type","Archive","Archive_Location","Library_Catalog","Call_Number","Extra","Notes","File_Attachments","Link_Attachments","Manual_Tags","Automatic_Tags","Editor","Series_Editor","Translator","Contributor","Attorney_Agent","Book_Author","Cast_Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed_Author","Scriptwriter","Words_By","Guest","Number","Edition","Running_Time","Scale","Medium","Artwork_Size","Filing_Date","Application_Number","Assignee","Issuing_Authority","Country","Meeting_Name","Conference_Name","Court","References","Reporter","Legal_Status","Priority_Numbers","Programming_Language","Version","System","Code","Code_Number","Section","Session","Committee","History","Legislative_Body"
"A5P948HZ","report","2018","Esenaliev, Damir; Bolotbekova, Aida; Kyzy, Gulzhan Asylbek; Tilekeyev, Kanat; Aladysheva, Anastasia; Mogilevskii, Roman; Brück, Tilman","Social Cohesion through Community-based Development in Kyrgyzstan","","","","","https://papers.ssrn.com/abstract=3807810","Community-driven development (CDD) – a widely practiced tool by development donors and practitioners worldwide - strives to empower and develop communities by giving them joint control over aid allocations. This is expected to improve local development, local governance, and strengthen social cohesion. However, the empirical evidence for the third outcome is quite weak. This paper presents the findings of an impact evaluation research examining the extent the community driven development intervention implemented during 2014-2017 strengthened social cohesion in two regions in Kyrgyzstan. Our findings are that, on the one hand, the CDD project led to a sense of unity and cooperation and to a perception of improvements in local governance and educational services. On the other hand, the program had at best a weak effect on deep-trenched perceptions, attitudes and trust for closely related social groups and local institutions. We posit that these results obtained in part because the duration of the CDD interventions was rather short and the micro-projects were only realized in less than a half of villages in treatment sub-districts. It stands to reason that larger and longer CDD projects would have had larger impacts on social cohesion as well.","2018-10-29","2021-06-24 16:58:46","2021-06-24 16:59:04","2021-06-24 16:58:46","","","","","","","","","","","","Social Science Research Network","Rochester, NY","en","","SSRN Scholarly Paper","","","papers.ssrn.com","","LiK2012","","C:\Users\Ilias\Zotero\storage\PZZY8LFF\papers.html","","","community-driven development; governance; household survey; impact evaluation; local development; post-conflict; social cohesion; theory of change","","","","","","","","","","","","","","","","","","","ID 3807810","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAWMC4YA","webpage","2018","Conti, Valentina; Sitko, Nicholas J.; Ignaciuk, Ada","How do extreme weather events affect livestock herders' welfare? Evidence from Kyrgyzstan","AgEcon Search","","","","https://ageconsearch.umn.edu/record/288951","This paper examines the impact of the harsh 2012 winter on livestock herding households in Kyrgyzstan and identifies policy options to increase household resilience to such shocks. While existing studies mostly focus on rainfall shocks in tropical or dry climate areas, this analysis examines the exceptionally harsh winter that hit Kyrgyzstan in 2012, which resulted in the death of 25 000 animals. Using a unique household panel survey, merged with observed temperature data, the analysis finds that, on average, the negative effects of the winter shock on household welfare are significant and persistent over time, leading to a 5 percent and a 8 percent decrease in households' food consumption expenditure in the short- (2011'2013) and medium-run (2011'2016), respectively. When disaggregating by income quantiles, the evidence shows that negative impact is concentrated in the upper quantiles of the welfare distribution. Several policy options are identified as effective in mitigating the negative welfare impacts of the weather shock. First, supporting households to restock their herds following weather shocks is found to significantly improve medium-term welfare by 10 percent relative to those that did not restock. Restocking efforts can be addressed in a holistic manner that takes into account immediate household needs, while simultaneously building long-term resilience in the livestock sector. This may include mitigating animal losses through the development of local forage markets that increase the availability of winter forage, combined with efforts to improve the genetic pool of livestock species through breeding programmes that select for resiliency traits. Second, results show that households living in regions with higher access to public veterinary services had significantly better welfare outcomes following the winter shock. Improvements of veterinary services and strengthening community-based organizations focusing on livestock and pasture development may help herding households to cope with weather shocks.","2018-11-29","2021-06-24 16:54:52","2021-06-24 16:55:08","2021-06-24 16:54:52","","","","","","","How do extreme weather events affect livestock herders' welfare?","","","","","","","en","","","","","","","LiK2016","","C:\Users\Ilias\Zotero\storage\Z26W5M7G\288951.html; C:\Users\Ilias\Zotero\storage\3DSVRI8M\Conti et al. - 2018 - How do extreme weather events affect livestock her.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RRG6RBR","webpage","","","How social assistance affects subjective Well-being: Lessons from Kyrgyzstan","","","","","https://socialprotection.org/discover/publications/how-social-assistance-affects-subjective-well-being-lessons-kyrgyzstan","This paper investigates the effects of social assistance on subjective well-being looking at the case of Kyrgyzstan. For this purpose, we exploit recent changes in the design of social assistance and apply a difference in difference (DiD) method combined with an inverse probability weighting (IPW) technique. In contrast to the existing literature, we find that the receipt of social assistance benefits is associated with lower levels of subjective well-being.","","2021-06-24 16:52:47","2021-06-24 16:53:06","2021-06-24 16:52:47","","","","","","","How social assistance affects subjective Well-being","","","","","","","en","","","","","","","LiK2012","","C:\Users\Ilias\Zotero\storage\JA4IP825\how-social-assistance-affects-subjective-well-being-lessons-kyrgyzstan.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFJB9BW8","journalArticle","2019","Esenaliev, Damir; Ferguson, Neil T. N.","The Impact of Job Quality on Wellbeing: Evidence from Kyrgyzstan","Social Indicators Research","","1573-0921","10.1007/s11205-018-1998-9","https://doi.org/10.1007/s11205-018-1998-9","Income and hours worked are insufficient to measure job quality yet these domains dominate literature aimed at understanding its relationship with wellbeing. More so, literature considering job quality in any manner has an overwhelming tendency to look at advanced economies, despite “decent work” being a key policy aim of many agencies and organisations working in emerging countries. This article tests the validity of the concept of job quality as a determinant of welfare in the developing world by generating four six-component indices using bespoke and unique data collected in Kyrgyzstan. Cross-sectional analysis of the performance of these indices against ones comprising only income and hours worked show no relationship between job quality and wellbeing in the latter case but a strong and positive relationship in the former. Jointly, this shows both the importance of more suitably measuring job quality in all contexts and the importance of policy objectives that aim to stimulate better, as well as more, jobs in the developing world.","2019-07-01","2021-06-24 16:50:27","2021-06-24 16:50:42","2021-06-24 16:50:27","337-378","","1","144","","Soc Indic Res","The Impact of Job Quality on Wellbeing","","","","","","","en","","","","","Springer Link","","LiK2013","","C:\Users\Ilias\Zotero\storage\8FQYL7SC\Esenaliev and Ferguson - 2019 - The Impact of Job Quality on Wellbeing Evidence f.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JEN5RQ4N","journalArticle","2019","Paulone, Sara; Ivlevs, Artjoms","Emigration and alcohol consumption among migrant household members staying behind: Evidence from Kyrgyzstan","Social Science & Medicine","","0277-9536","10.1016/j.socscimed.2018.12.009","https://www.sciencedirect.com/science/article/pii/S0277953618306828","Despite the growth of alcohol consumption and international migration in many developing countries, the links between the two remain underexplored. We study the relationship between emigration of household members, receiving remittances (migrant monetary transfers), and alcohol consumption of migrant household members staying behind in Kyrgyzstan, a poor post-socialist country that has recently witnessed both large-scale emigration and a rise in alcohol-related health problems. Using a large longitudinal survey, we find that, among the ethnic majority (Kyrgyz), an increase in migrant remittances is associated with a higher likelihood and frequency of consuming alcohol, as well as an increase in the consumption of beer. Among ethnic Russians, the emigration of family members who do not send remittances back home is associated with an increased likelihood and frequency of alcohol consumption. We discuss possible mechanisms through which emigration and remittances may affect the alcohol consumption of those staying behind, including the relaxation of budget constraints and psychological distress. Overall, our findings suggest that the emigration of household members contribute to a greater alcohol consumption among those staying behind, and highlight the role of remittances and cultural background in understanding the nuances in this relationship.","2019-01-01","2021-06-24 16:36:59","2021-06-24 16:37:29","2021-06-24 16:36:59","40-48","","","221","","Social Science & Medicine","Emigration and alcohol consumption among migrant household members staying behind","","","","","","","en","","","","","ScienceDirect","","LiK2013","","C:\Users\Ilias\Zotero\storage\A88ZJY26\Paulone and Ivlevs - 2019 - Emigration and alcohol consumption among migrant h.pdf; C:\Users\Ilias\Zotero\storage\H8VIN97X\S0277953618306828.html","","","Central Asia; Kyrgyzstan; Alcoholism; Emigration; Monetary remittances; Social remittances","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GT2E6Q3R","report","2020","Adena, Maja; Hakimov, Rustamdjan; Huck, Steffen","Charitable giving by the poor: A field experiment in Kyrgyzstan","","","","","https://www.econstor.eu/handle/10419/216905","Previous studies of charitable giving have focused on middle- or high-income earners in Western countries, neglecting the poor, although the lowest income groups are often shown to contribute substantial shares of their income to charitable causes. In a large-scale natural field experiment with over 180,000 clients of a micro-lending company in Kyrgyzstan, we study charitable giving by a population that is much poorer than the typical donors studied so far. In a 2x2 design, we explore two main (pre-registered) hypotheses about giving by the poor: (i) that they are more price sensitive than the rich such that, in contrast to previous studies, matching incentives induce crowding in of out-of-pocket donations; (ii) that they care about their proximity to the charitable project. We find evidence in favor of the former but not the latter.","2020","2021-06-24 15:37:37","2021-06-24 15:37:54","2021-06-24 15:37:37","","","","","","","Charitable giving by the poor","","","","","WZB Discussion Paper","","eng","http://www.econstor.eu/dspace/Nutzungsbedingungen","Working Paper","","","www.econstor.eu","","LiK2013","","C:\Users\Ilias\Zotero\storage\KSA5Y9S9\Adena et al. - 2020 - Charitable giving by the poor A field experiment .pdf; C:\Users\Ilias\Zotero\storage\XLR8N8ZJ\216905.html","","","","","","","","","","","","","","","","","","","","","","SP II 2019-305r","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J3YAE3P8","conferencePaper","2018","Egamberdiev, Bekhzod; Zoirov, Dilshod","Effect of Migration on Household and Left Behind Family Members: Case of Kyrgyzstan","","","","10.36880/C10.02202","https://www.avekon.org/?p=/conf/10/paperdetail&id=2202","More than billion international and internal migrations around the world as well as the relationship between migrant and its family members have been one of the most discussed policy questions for several years. Main purpose of the paper is to examine the impact of labor migration on household, in order to address arising social problems due to the migration of family member. To find the impact, it was used secondary data named ""Life in Kyrgyzstan"" which is research based, open access and multi-topic longitudinal survey of households in Kyrgyzstan. It includes more than 3000 households which were recorded from 2010 to 2013. The result of the research is: there is a positive impact of remittances on child education, while negative on nonfood spending. Also housing condition is directly related with migration and significant impact can be seen in terms of facilities and type of household. Based on findings, it was provided some policy recommendations to simplicity of the social and other issues in the household of migrant's. One of the recommendations is: The Government of Kyrgyzstan should pay high attention on keeping citizens inside the country and should consider about shifting its policies which encourage labor migration, instead it should pay more attention on development of small and medium enterprise supporting method, which actually helps to create several number of job positions.","2018-06","2021-06-24 15:24:11","2021-06-24 15:25:51","2021-06-24 15:24:11","44-53","","","","","","Effect of Migration on Household and Left Behind Family Members","","","","","","Tashkent, UZBEKISTAN","en","","","","","DOI.org (Crossref)","","LiK2013","","C:\Users\Ilias\Zotero\storage\MW2ZQVZV\Egamberdiev and Zoirov - 2018 - Effect of Migration on Household and Left Behind F.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Conference on Eurasian Economies","","","","","","","","","","","","","","",""
"JBVX6F6U","journalArticle","2018","Price, Roz","Economic Development in Kyrgyzstan","","","","","https://opendocs.ids.ac.uk/opendocs/handle/20.500.12413/14239","Kyrgyzstan is a lower middle-income country with a small economy dominated by minerals extraction, agriculture, and reliance on remittances from citizens working abroad. Kyrgyzstan has taken large strides since gaining independence in 1991. Overall, the macroeconomic context in Kyrgyzstan is improving, however, its openness to trade and its reliance on its neighbours (in particular Russia) leaves it vulnerable to events outside its borders (OECD, 2018). In recent years, Kyrgyzstan has maintained a strong development agenda to reduce poverty through inclusive economic growth. This annotated bibliography looks at key documents published since 2014 relating to economic development in Kyrgyzstan. For each resource, a couple of brief paragraphs describe the document including its methodology (where available) and main findings. Then recommendations from the document are highlighted, and any limitations of the report (such as relating to data collection, analysis or findings) are highlighted if stated. A number of further resources have been flagged as footnotes and in the key websites section. The literature was dominated by grey literature, especially reports and working papers from the large international financial institutions, such as the Asian Development Bank (ADB) and the World Bank, and UN agencies. Recent peer reviewed literature and empirical evidence was scarcer. Although some academic papers were found, most looked at entrepreneurship and business development and none were explicitly about good governance. Many of the reports did not include limitations or discuss the methodology in detail.","2018-07-30","2021-06-24 15:23:13","2021-06-24 15:23:33","2021-06-24 15:23:13","","","","","","","","","","","","","","en","https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/","","","","opendocs.ids.ac.uk","","LiK2013","","C:\Users\Ilias\Zotero\storage\FQ2BTZN8\14239.html; C:\Users\Ilias\Zotero\storage\DWQ33ZC8\Price - 2018 - Economic Development in Kyrgyzstan.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VWMUSSIT","journalArticle","2019","Muktarbek kyzy, Akylai","School attendance: demographic differences and the effect of a primary school meal programme in Kyrgyzstan","Educational Research and Evaluation","","1380-3611","10.1080/13803611.2020.1862677","https://doi.org/10.1080/13803611.2020.1862677","In 2006, public schools in Kyrgyzstan introduced free meals for all primary school children as a nutrition and poverty measure. This paper attempts to assess how participation in the free meals programme affected the school attendance of primary and secondary school students. The analysis of demographic differences in schooling across income groups and the investigation of the effects of free meals on school attendance is performed using annual panel data from the Life in Kyrgyzstan survey from 2010 to 2013. The sample includes around 3,200 school students that were in Grades 1 and 9 the previous academic year. School attendance is measured in terms of number of weeks missed from school during the last academic year, reported by students’ parents. Results from panel regression models show that students participating in the programme have lower odds and lower rates of missing school in later years.","2019-11-17","2021-06-24 15:20:55","2021-06-24 15:21:55","2021-06-24 15:20:55","381-411","","7-8","25","","","School attendance","","","","","","","","","","","","Taylor and Francis+NEJM","","LiK2013","","C:\Users\Ilias\Zotero\storage\YJH2N3PG\13803611.2020.html; C:\Users\Ilias\Zotero\storage\B7WGR58Z\kyzy - 2019 - School attendance demographic differences and the.pdf","","","Central Asia; educational policy; school attendance; School meals program","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PCUIR8D","report","2018","Brück, Tilman; Mahe, Clotilde; Naudé, Wim","Return Migration and Self-Employment: Evidence from Kyrgyzstan","","","","","https://papers.ssrn.com/abstract=3129276","A common finding of the migration literature is that migrants are more likely to choose self-employment upon return to their origin countries than non-migrants. This has led to the belief that return migration stimulates entrepreneurship in source countries and hence supports economic development. In this paper, we test these assertions, drawing on the Life in Kyrgyzstan Study, a rich longitudinal data set from a transition economy with high levels of international temporary migration. We find that for return migrants, self-employment is often a temporary occupational choice, suggesting that self-employment serves as a 'parking lot'. In addition, we find evidence that return migrants who were self-employed before migrating are less likely to opt for self-employment on their return, implying that migration disrupts self-employment trajectories. Both findings cast doubt on the common narrative of return migration stimulating entrepreneurship and therefore economic development.","2018-02-25","2021-06-24 15:16:36","2021-06-24 15:18:10","2021-06-24 15:16:36","","","","","","","Return Migration and Self-Employment","","","","","Social Science Research Network","Rochester, NY","en","","SSRN Scholarly Paper","","","papers.ssrn.com","","LiK2013","","C:\Users\Ilias\Zotero\storage\T4MNAU5U\papers.html","","","Central Asia; entrepreneurship; Kyrgyzstan; migration; occupational choice; transition economies","","","","","","","","","","","","","","","","","","","ID 3129276","","","","","","","","","","","","","","","","","","","","","","","","","","",""
