Country,Survey_name,Short_name,Year_of_collection,Type_of_study,Main_unit_of_observation,Other_units,Sample_size,Survey_coverage,Main_data_producer,Other_data_producers,Funders,Study_weblink,Company_that_collected_data,Mode_of_data_collection,Type_of_data,Primary_data_available,For_free,Data_weblink,Publication_and_other_links,Survey_description
Kyrgyzstan,Life in Kyrgyzstan Study,LiK,2019,panel study,individual,"household, community","2,316",all regions,IGZ,UCA,"IGZ, UCA",https://lifeinkyrgyzstan.org/,SIAR,,Panel,No,,,,"The ‘Life in Kyrgyzstan’ Study (LiK Study) is a research-based, open access, multi-topic longitudinal survey of households and individuals in Kyrgyzstan. It tracks the same 3,000 households and 8,000 individuals over time in all seven Kyrgyz regions (oblasts) and the two cities of Bishkek and Osh."
Kyrgyzstan,Life in Kyrgyzstan Study,LiK,2016,panel study,individual,household,"2,529",all regions,IGZ,"FAO, IFPRI, UCA","FAO, IFPRI, UCA",https://lifeinkyrgyzstan.org/,Sotseconik,,Panel,Yes,Yes,http://idsc.iza.org/lik,,"The ‘Life in Kyrgyzstan’ Study (LiK Study) is a research-based, open access, multi-topic longitudinal survey of households and individuals in Kyrgyzstan. It tracks the same 3,000 households and 8,000 individuals over time in all seven Kyrgyz regions (oblasts) and the two cities of Bishkek and Osh."
Kyrgyzstan,Life in Kyrgyzstan Study,LiK,2013,panel study,individual,household,"2,586",all regions,SIPRI,UCA,"DFID, IZA",https://lifeinkyrgyzstan.org/,Sotseconik,,Panel,Yes,Yes,http://idsc.iza.org/lik,,"The ‘Life in Kyrgyzstan’ Study (LiK Study) is a research-based, open access, multi-topic longitudinal survey of households and individuals in Kyrgyzstan. It tracks the same 3,000 households and 8,000 individuals over time in all seven Kyrgyz regions (oblasts) and the two cities of Bishkek and Osh."
Kyrgyzstan,Life in Kyrgyzstan Study,LiK,2012,panel study,individual,household,"2,816",all regions,DIW Berlin,"AUCA, HU, CASE-Kyrgyzstan",Volkswagen Foundation,https://lifeinkyrgyzstan.org/,Sotseconik,,Panel,Yes,Yes,http://idsc.iza.org/lik,,"The ‘Life in Kyrgyzstan’ Study (LiK Study) is a research-based, open access, multi-topic longitudinal survey of households and individuals in Kyrgyzstan. It tracks the same 3,000 households and 8,000 individuals over time in all seven Kyrgyz regions (oblasts) and the two cities of Bishkek and Osh."
Kyrgyzstan,Life in Kyrgyzstan Study,LiK,2011,panel study,individual,household,"2,862",all regions,DIW Berlin,"AUCA, HU, CASE-Kyrgyzstan",Volkswagen Foundation,https://lifeinkyrgyzstan.org/,Sotseconik,,Panel,Yes,Yes,http://idsc.iza.org/lik,,"The ‘Life in Kyrgyzstan’ Study (LiK Study) is a research-based, open access, multi-topic longitudinal survey of households and individuals in Kyrgyzstan. It tracks the same 3,000 households and 8,000 individuals over time in all seven Kyrgyz regions (oblasts) and the two cities of Bishkek and Osh."
Kyrgyzstan,Life in Kyrgyzstan Study,LiK,2010,panel study,individual,household,"3,000",all regions,DIW Berlin,"AUCA, HU, CASE-Kyrgyzstan",Volkswagen Foundation,https://lifeinkyrgyzstan.org/,Sotseconik,,Panel,Yes,Yes,http://idsc.iza.org/lik,,"The ‘Life in Kyrgyzstan’ Study (LiK Study) is a research-based, open access, multi-topic longitudinal survey of households and individuals in Kyrgyzstan. It tracks the same 3,000 households and 8,000 individuals over time in all seven Kyrgyz regions (oblasts) and the two cities of Bishkek and Osh."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2019,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,http://www.stat.kg/en/bazy-dannyh/,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2018,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,http://www.stat.kg/en/bazy-dannyh/,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2017,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,http://www.stat.kg/en/bazy-dannyh/,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2016,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,http://www.stat.kg/en/bazy-dannyh/,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
